"a_o","c_digo_municipio","municipio","c_digo_departamento","departamento","c_digo_etc","etc","poblaci_n_5_16","tasa_matriculaci_n_5_16","cobertura_neta","cobertura_neta_transici_n","cobertura_neta_primaria","cobertura_neta_secundaria","cobertura_neta_media","cobertura_bruta","cobertura_bruta_transici_n","cobertura_bruta_primaria","cobertura_bruta_secundaria","cobertura_bruta_media","tama_o_promedio_de_grupo","sedes_conectadas_a_internet","deserci_n","deserci_n_transici_n","deserci_n_primaria","deserci_n_secundaria","deserci_n_media","aprobaci_n","aprobaci_n_transici_n","aprobaci_n_primaria","aprobaci_n_secundaria","aprobaci_n_media","reprobaci_n","reprobaci_n_transici_n","reprobaci_n_primaria","reprobaci_n_secundaria","reprobaci_n_media","repitencia","repitencia_transici_n","repitencia_primaria","repitencia_secundaria","repitencia_media"
"2023","05756","Sonson","05","Antioquia","3758","Antioquia (ETC)","7061","79.83","79.83","75.68","75.7","62.42","46.42","89.21","90.09","90.59","89.55","84.78",,,"3.47","2.8","2.28","5.09","3.8","91.94","0","93","88.59","93.23","4.6","0","4.72","6.32","2.97","8.77","1","10.01","11.66","2.85"
"2023","05761","Sopetrán","05","Antioquia","3758","Antioquia (ETC)","2625","95.39","95.39","83.11","91.73","78.72","46.4","112.65","112.79","109.26","119.22","107.89",,,"4.08","8.5","3.68","3.81","2.75","88.38","0.4","89.46","85.91","89","7.54","0.4","6.86","10.28","8.25","9.23","3.64","10.61","10.85","3.44"
"2023","05789","Támesis","05","Antioquia","3758","Antioquia (ETC)","2677","77.96","77.96","57.29","73.93","62.62","50.85","93.31","80.73","85.99","103.51","94.87",,,"2.54","5.81","2.4","2.68","1.29","92.01","0.65","91.04","91.36","95.09","5.44","0.65","6.56","5.96","3.62","9.83","1.29","9.51","14.6","3.88"
"2023","05790","Tarazá","05","Antioquia","3758","Antioquia (ETC)","7418","76.95","76.95","61.34","70.13","57.37","33.66","92.01","69.65","91.19","105.72","76.89",,,"6.4","7.02","5.59","7.92","4.63","81.99","0.24","83.97","75.43","87.22","11.61","0.24","10.44","16.66","8.15","13.24","1.69","14.09","16.24","7.04"
"2023","05792","Tarso","05","Antioquia","3758","Antioquia (ETC)","1133","62.67","62.67","49.41","65.93","41.84","34.33","72.9","63.53","78.68","70.41","68.66",,,"3.96","9.26","2.79","4.76","3.51","86.39","0","89.11","77.49","93.86","9.64","0","8.1","17.75","2.63","12.02","3.7","14.53","14.29","3.51"
"2023","05809","Titiribí","05","Antioquia","3758","Antioquia (ETC)","1690","68.7","68.7","67.21","65.73","56.49","37.58","81.36","82.79","76.37","93.76","67.45",,,"6.19","0.99","5.22","9.84","2.65","87.46","0","88.2","81.5","94.04","6.35","0","6.58","8.67","3.31","15.8","2.97","11.41","25.76","11.26"
"2023","05819","Toledo","05","Antioquia","3758","Antioquia (ETC)","1107","93.68","93.68","63.27","85.98","74.24","51.18","103.07","66.33","109.83","109.97","90.59",,,"2.65","0","2.67","3.25","2.25","86.43","0","83.62","85.8","95.51","10.91","0","13.71","10.95","2.25","10.9","0","14.29","10.62","0"
"2023","05837","Turbo","05","Antioquia","3763","Turbo","33384","101.55","101.54","61.56","89.33","89.34","63.12","118.55","96.06","108.46","126.99","142.71",,,"3.57","1.94","2.89","4.78","3.5","89.63","0.12","91.22","85.61","90.4","6.8","0.12","5.89","9.61","6.09","9.36","1.32","9.96","12.41","3.96"
"2023","05842","Uramita","05","Antioquia","3758","Antioquia (ETC)","1533","77.3","77.3","44.85","78.26","58.35","32.19","88.91","79.41","95.65","90.54","71.67",,,"7.85","3.7","4.08","13.77","13.33","86.17","0.93","87.77","81.56","83.81","5.99","0.93","8.15","4.68","2.86","10.19","1.85","10.66","12.47","7.62"
"2023","05847","Urrao","05","Antioquia","3758","Antioquia (ETC)","6870","83.68","83.68","63","82.52","63.48","43.36","95.72","74.33","105.93","90.04","91.5",,,"5.7","4.26","4.07","8.22","7.45","85.67","0.45","84.46","83.72","89.97","8.62","0.45","11.47","8.06","2.58","12.44","1.79","16.97","10.44","4.15"
"2023","05854","Valdivia","05","Antioquia","3758","Antioquia (ETC)","3413","78.76","78.76","59.04","74.66","55.41","32.28","89.28","76.45","101.1","91.93","58.58",,,"2.97","3.57","2.99","3.3","1.21","89.05","0","90.48","83.25","93.95","7.97","0","6.53","13.44","4.84","12.11","0.89","15.5","12.15","2.42"
"2023","05856","Valparaíso","05","Antioquia","3758","Antioquia (ETC)","1044","66.86","66.86","47.13","63.99","52.87","39.31","79.6","72.41","76.38","86.78","76.88",,,"3.41","1.59","3.6","3.23","4.44","87.87","0","89.49","83.47","86.67","8.72","0","6.91","13.31","8.89","14.85","1.59","20.42","13.71","6.67"
"2023","05858","Vegachí","05","Antioquia","3758","Antioquia (ETC)","2606","98.89","98.89","85.35","92.54","88.56","56.65","110.71","102.02","107.56","121.67","99.77",,,"4.66","3.47","4","6.14","3.43","90.6","0","91.31","87.51","93.43","4.74","0","4.69","6.35","3.14","5.97","0.99","7.04","7.57","0.86"
"2023","05861","Venecia","05","Antioquia","3758","Antioquia (ETC)","1784","83.74","83.74","71.67","81.35","60.44","51.08","95.01","109.17","100.14","90.03","88.62",,,"3.64","3.05","3.15","5.1","2.18","86.67","0","91.26","77.45","87.34","9.69","0","5.59","17.45","10.48","12.44","2.29","13.18","17.25","5.24"
"2023","05873","Vigía del Fuerte","05","Antioquia","3758","Antioquia (ETC)","2761","76.42","76.42","40.59","67.58","42.57","28.57","96.85","71.59","106.92","94.04","88.52",,,"1.85","1.55","1.16","3.5","1.05","92.77","0","90.03","94.4","97.2","5.39","0","8.81","2.1","1.75","13.5","8.76","19.09","7.98","5.24"
"2023","05885","Yalí","05","Antioquia","3758","Antioquia (ETC)","1576","73.6","73.6","63.08","73.91","59.85","34.26","80.58","73.85","88.31","85.42","53.39",,,"3.73","3.13","2.64","4.94","5.45","83.97","0","85.92","76.79","89.09","12.3","0","11.44","18.27","5.45","9.5","1.04","8.45","13.83","6.36"
"2023","05887","Yarumal","05","Antioquia","3758","Antioquia (ETC)","9023","79.37","79.36","60.64","71.54","69.51","51.37","93.93","76.82","84.3","106.19","99.8",,,"2.58","3.14","1.94","3.63","1.38","92.25","1.05","93.41","88.36","97.35","5.17","1.05","4.64","8.01","1.27","8.02","2.51","8.05","11.4","1.7"
"2023","05890","Yolombó","05","Antioquia","3758","Antioquia (ETC)","4591","74.17","74.17","59.55","64.44","65.88","46.4","84.16","72.19","78.98","94.54","81.26",,,"4.28","2.72","3.39","5.82","3.62","90.93","0","91.79","87.61","93.96","4.79","0","4.82","6.57","2.41","9.43","1.17","10.52","11.93","3.82"
"2023","05893","Yondó","05","Antioquia","3758","Antioquia (ETC)","4766","87.28","87.26","61.91","83.19","73.56","36.49","93.6","77.23","101.34","101.15","62.75",,,"4.48","4.56","3.73","5.42","5.1","87.89","0","89.87","83.35","86.97","7.63","0","6.39","11.23","7.93","11.55","1.3","15.91","9.37","4.25"
"2023","05895","Zaragoza","05","Antioquia","3758","Antioquia (ETC)","6598","105.58","105.58","65.97","95.95","84.38","44.95","121.75","102.58","125.25","135.26","93.68",,,"4.05","2.8","2.59","6.87","3.12","93.8","0.33","95.3","90.63","93.93","2.15","0.33","2.11","2.51","2.95","11.04","3.79","13.11","11.88","2.77"
"2023","08001","Barranquilla","08","Atlántico","4909","Barranquilla","240867","99.12","98.64","70.61","93.5","85.39","58.45","106.37","96.99","109.59","110.23","95.3",,,"1.87","3.08","1.93","1.89","0.94","90.99","0.82","91.71","87.71","94.45","7.14","0.82","6.36","10.4","4.62","6.86","7.68","7.71","7.51","1.78"
"2023","08078","Baranoa","08","Atlántico","3764","Atlántico (ETC)","13603","89.63","89.59","65.51","84.55","81.14","54.6","96.58","90.26","97.73","100.59","88.62",,,"2.64","4.71","2.95","2.23","2.02","88.76","0","90.64","85.17","90.29","8.6","0","6.41","12.6","7.68","7.32","4.71","8.41","8.25","3.47"
"2023","08137","Campo de la Cruz","08","Atlántico","3764","Atlántico (ETC)","5547","89.47","89.47","63.77","83.34","69.19","42.05","99.42","86.86","106.71","101.92","80.99",,,"3.29","2.93","3.55","3.41","1.98","87.08","0","85.94","84.01","94.27","9.63","0","10.51","12.58","3.75","11.39","4.39","15.16","10.41","1.97"
"2023","08141","Candelaria","08","Atlántico","3764","Atlántico (ETC)","3921","83.04","83.01","61.7","75.46","74.8","41.15","89.19","90.35","91.72","97.97","63.11",,,"2.84","3.65","2.7","2.78","2.94","87.7","0","90.18","82.34","89.04","9.47","0","7.11","14.89","8.02","12.43","4.38","14.72","12.95","8.02"
